"","Code","Country.x","Y_2013","Y_2010","Y_2005","Y_2000","X","WHO_region","Country.y","UN_population","At_risk","At_high_risk","Suspected_malaria_cases"
"70","PRY","Paraguay",0,NA,410,7500,70,"Region of the Americas","Paraguay",6552518,NA,NA,NA
"71","RWA","Rwanda",1300000,1100000,1600000,3400000,71,"African","Rwanda",11341544,100,100,3500000
"72","SAU","Saudi Arabia",NA,NA,220,5200,72,"Eastern Mediterranean","Saudi Arabia",30886545,NA,NA,91
"73","SDN","Sudan",1300000,1200000,2200000,2400000,73,"Eastern Mediterranean","Sudan",39350274,100,86.9,1400000
"74","SEN","Senegal",1800000,1600000,1300000,2200000,74,"African","Senegal",14672557,100,96,1400000
"75","SLB","Solomon Islands",42000,70000,220000,190000,75,"Western Pacific","Solomon Islands",572171,99,99,39000
"76","SLE","Sierra Leone",2500000,2800000,2400000,2000000,76,"African","Sierra Leone",6315627,100,100,2000000
"77","SLV","El Salvador",NA,NA,0,820,77,"Region of the Americas","El Salvador",6107706,NA,NA,10
"78","SOM","Somalia",690000,280000,1100000,610000,78,"Eastern Mediterranean","Somalia",10517569,100,50.9,700000
"79","SSD","South Sudan",1800000,1800000,1800000,2000000,79,"African","South Sudan",11911184,100,100,1900000
"80","STP","Sao Tome and Principe",17000,5100,30000,47000,80,"African","Sao Tome and Principe",186342,100,100,3400
"81","SUR","Suriname",1100,2400,14000,20000,81,"Region of the Americas","Suriname",538248,15.7,15.7,50
"82","SWZ","Swaziland",620,530,970,1900,82,"African","Swaziland",1269112,28,0,260
"83","TCD","Chad",1900000,1900000,2200000,1700000,83,"African","Chad",13587053,98.91,67.35,1900000
"84","TGO","Togo",2600000,2900000,2800000,2500000,84,"African","Togo",7115163,100,100,2500000
"85","THA","Thailand",127000,120000,120000,220000,85,"South-East Asia","Thailand",67725979,50,8,52000
"86","TJK","Tajikistan",NA,120,2500,21000,86,"European","Tajikistan",8295840,NA,NA,1
"87","TLS","Timor-Leste",90000,110000,270000,250000,87,"South-East Asia","Timor-Leste",1157360,89.71,33.67,120
"88","TUR","Turkey",NA,NA,2300,12000,88,"European","Turkey",77523788,NA,NA,NA
"89","TZA","United Republic of Tanzania",5700000,6900000,9700000,12000000,89,"African","United Republic of Tanzania",51822621,100,98.9,5300000
"90","UGA","Uganda",8100000,14000000,13000000,12000000,90,"African","Uganda",37782971,100,100,8500000
"91","UZB","Uzbekistan",0,NA,110,140,91,"European","Uzbekistan",29469913,NA,NA,NA
"92","VEN","Venezuela (Bolivarian Republic of)",132000,78000,78000,78000,92,"Region of the Americas","Venezuela",30693827,18.8,2.6,230000
"93","VNM","Viet Nam",23000,25000,39000,200000,93,"Western Pacific","Viet Nam",92423338,73.7,6.8,13000
"94","VUT","Vanuatu",7900,18000,26000,23000,94,"Western Pacific","Vanuatu",258883,100,86.92,820
"95","YEM","Yemen",460000,510000,630000,770000,95,"Eastern Mediterranean","Yemen",26183676,77.89,25.06,310000
"96","ZAF","South Africa",19000,17000,17000,39000,96,"African","South Africa",53969054,10,4,12000
"97","ZMB","Zambia",3300000,2200000,2900000,4000000,97,"African","Zambia",15721343,100,100,2800000
"98","ZWE","Zimbabwe",1000000,960000,1000000,990000,98,"African","Zimbabwe",15245855,78.74,28.62,960000
